date,code,action,price,shares,pnl,reason
2024-03-18,600219,sell,2.8942102,40200,6618.556139999986,
2024-03-18,600160,buy,21.66419115,5100,0.0,
2024-03-18,600362,buy,21.49391712,5100,0.0,
2024-03-18,600233,buy,14.07012633,7800,0.0,
2024-03-18,600436,buy,227.8283837,400,0.0,
2024-03-18,600009,buy,36.81360525,3000,0.0,
2024-03-18,600183,buy,17.5185333,6300,0.0,
2024-03-18,600085,buy,41.46194028,2600,0.0,
2024-03-18,600176,buy,9.72547452,11300,0.0,
2024-03-18,600372,buy,12.0182112,9200,0.0,
2024-04-01,600276,sell,45.92600208,2500,11550.905100000018,
2024-04-01,600362,sell,21.9983376,5100,2572.544448000015,
2024-04-01,600233,sell,14.9358339,7800,6752.519045999987,
2024-04-01,600436,sell,227.2854273,400,-217.18255999998655,
2024-04-01,600009,sell,35.83582025,3000,-2933.3550000000105,
2024-04-01,600183,sell,16.7589221,6300,-4785.550560000018,
2024-04-01,600085,sell,40.1740636,2600,-3348.479368000015,
2024-04-01,600372,sell,11.6941908,9200,-2980.987679999991,
2024-04-01,600309,buy,81.27444845,1300,0.0,
2024-04-01,600066,buy,18.46131656,6000,0.0,
2024-04-01,600489,buy,12.7610612,8600,0.0,
2024-04-01,600150,buy,36.9549859,2900,0.0,
2024-04-01,600426,buy,25.3758729,4300,0.0,
2024-04-01,600036,buy,28.766448,3800,0.0,
2024-04-01,600016,buy,3.50795652,31500,0.0,
2024-04-01,600023,buy,5.9834572,18500,0.0,
2024-04-17,600160,sell,23.15759571,5100,7616.363255999982,
2024-04-17,600309,sell,83.70643372,1300,3161.580851000006,
2024-04-17,600489,sell,12.6658294,8600,-818.9934800000046,
2024-04-17,600426,sell,26.55504915,4300,5070.457874999978,
2024-04-17,600016,sell,3.51668278,31500,274.87718999999925,
2024-04-17,600023,sell,6.0562044,18500,1345.823199999999,
2024-04-17,600031,buy,15.36036948,7400,0.0,
2024-04-17,600050,buy,4.5415004,25100,0.0,
2024-04-17,600019,buy,6.65209741,17100,0.0,
2024-04-17,600406,buy,24.2244149,4700,0.0,
2024-04-17,600161,buy,23.2888286,4900,0.0,
2024-04-17,600061,buy,6.05419632,18800,0.0,
2024-05-06,600176,sell,11.82033794,11300,23671.95664599999,
2024-05-06,600150,sell,36.55040528,2900,-1173.283798000004,
2024-05-06,600050,sell,4.3907452,25100,-3783.9555200000177,
2024-05-06,600019,sell,6.43066837,17100,-3786.436583999981,
2024-05-06,600406,sell,21.93945052,4700,-10739.33258599999,
2024-05-06,600161,sell,24.22201892,4900,4572.632568000001,
2024-05-06,600061,sell,6.23736468,18800,3443.565168000001,
2024-05-06,600085,buy,42.8651492,2600,0.0,
2024-05-06,600183,buy,18.60097926,6100,0.0,
2024-05-06,600436,buy,235.5655124,400,0.0,
2024-05-06,600309,buy,90.0639643,1200,0.0,
2024-05-06,600048,buy,8.22963947,13900,0.0,
2024-05-06,600009,buy,36.6278261,3100,0.0,
