date,code,action,price,shares,pnl,fee,reason
2023-11-16,600160,buy,14.78667015,8600,0.0,31.823132163322498,
2023-11-16,600406,buy,21.05770078,6000,0.0,31.618137721169997,
2023-11-16,600011,buy,7.1675296,17900,0.0,32.10676965496,
2023-11-16,601018,buy,3.26396875,39300,0.0,32.10056146171875,
2023-11-16,600027,buy,4.66283165,27500,0.0,32.08902456134375,
2023-11-16,601066,buy,25.45235308,5000,0.0,31.84725679135,
2023-11-16,600760,buy,41.9817986,3000,0.0,31.517835298949997,
2023-11-16,600660,buy,34.2957968,3700,0.0,31.755335652039996,
2023-11-30,601059,sell,19.34419715,6500,-1953.7676226737385,282.90888331875004,
2023-11-30,600160,sell,15.61197267,8600,6668.34463754551,302.09167116450004,
2023-11-30,600406,sell,20.86807718,6000,-1545.806846609994,281.71904193000006,
2023-11-30,601018,sell,3.39565625,39300,4746.783874218745,300.26090390625,
2023-11-30,600027,sell,4.72746496,27500,1356.6762602250092,292.5118944,
2023-11-30,601066,sell,25.06347068,5000,-2353.6378105500044,281.96404515,
2023-11-30,600760,sell,41.1883955,3000,-2784.1763654249953,278.021669625,
2023-11-30,600660,sell,35.09727466,3700,2546.388822295514,292.1848115445,
2023-11-30,600150,buy,27.27465448,4700,0.0,32.07976673301399,
2023-11-30,601127,buy,74.79852318,1700,0.0,31.8211617238515,
2023-11-30,600515,buy,4.07,31700,0.0,32.28700475,
2023-11-30,600104,buy,14.39675712,8900,0.0,32.064817376591996,
2023-11-30,600674,buy,13.6430406,9400,0.0,32.09320655541,
2023-11-30,600900,buy,21.36426834,6000,0.0,32.07844891250999,
2023-11-30,600018,buy,4.68166747,27600,0.0,32.335809048543,
2023-12-14,600161,sell,26.2766748,4900,19536.552591374,289.70033967,
2023-12-14,600011,sell,7.32785592,17900,2446.4129509820195,295.12939717800003,
2023-12-14,600150,sell,28.21209738,4700,3979.447824150542,298.34292979350005,
2023-12-14,600515,sell,3.84,31700,-7693.9070000000065,273.88800000000003,
2023-12-14,600104,sell,13.16800164,8900,-11327.744143208984,263.68923284100003,
2023-12-14,600674,sell,14.0634144,9400,3525.8279238000105,297.44121456000005,
2023-12-14,600900,sell,21.53271198,6000,591.7846182300127,290.69161173,
2023-12-14,600018,sell,4.72820492,27600,861.5980722960085,293.621525532,
2023-12-14,600183,buy,17.091252,7500,0.0,32.078143597499995,
2023-12-14,601138,buy,14.234745,9000,0.0,32.060204426249996,
2023-12-14,600482,buy,17.39984967,7300,0.0,31.786480373397747,
2023-12-14,600160,buy,16.58465064,7700,0.0,31.957377934481997,
2023-12-14,600010,buy,1.47,87300,0.0,32.11483275,
2023-12-14,601100,buy,49.35651243,2600,0.0,32.1138148125795,
2023-12-14,600025,buy,8.33205195,15400,0.0,32.1104784075075,
2023-12-14,600196,buy,25.277577,5000,0.0,31.628568221249996,
2023-12-14,600809,buy,204.296028,600,0.0,30.675048604199997,
2023-12-28,601127,sell,71.13221956,1700,-6631.954383222997,272.08073981700005,
2023-12-28,600183,sell,17.08175686,7500,-487.6525870124897,288.2546470125,
2023-12-28,601138,sell,14.0449484,9000,-2120.69231009997,284.41020510000004,
2023-12-28,600482,sell,16.91897396,7300,-3915.305732883993,277.894147293,
2023-12-28,600160,sell,16.12287423,7700,-3962.70896296273,279.32879603475004,
2023-12-28,600010,sell,1.46,87300,-1288.1114999999845,286.7805,
2023-12-28,600196,sell,24.368874,5000,-4944.052717499973,274.14983250000006,
2023-12-28,601012,buy,22.47725025,5500,0.0,30.93712531284375,
2023-12-28,600674,buy,14.4073566,8700,0.0,31.367336605604997,
2023-12-28,600760,buy,41.2471661,3000,0.0,30.966309949574995,
2023-12-28,600941,buy,89.43576996,1400,0.0,31.333822005485995,
2023-12-28,600438,buy,24.42938659,5100,0.0,31.178615370152247,
2023-12-28,600886,buy,12.35550639,10100,0.0,31.228851288384746,
2024-01-12,600025,sell,8.25499251,15400,-1601.0644665014988,286.0354904715,
2024-01-12,600809,sell,199.8264618,600,-3074.083060229983,269.76572343000004,
2024-01-12,601012,sell,21.84492321,5500,-3871.7545210987446,270.33092472375006,
2024-01-12,600674,sell,14.18761575,8700,-2314.8119757262175,277.72257830625006,
2024-01-12,600760,sell,38.1617096,3000,-9637.702538099984,257.5915398,
2024-01-12,600941,sell,87.3371132,1400,-3338.441448523983,275.11190658000004,
2024-01-12,600886,sell,12.57226966,10100,1778.8135844375065,285.70482802350006,
2024-01-12,600066,buy,13.46868865,9100,0.0,30.67190794542875,
2024-01-12,600660,buy,36.346089,3300,0.0,30.015508948424998,
2024-01-12,601058,buy,11.52433836,10600,0.0,30.570036150653998,
2024-01-12,600036,buy,25.1530155,4800,0.0,30.213802218599994,
2024-01-12,601021,buy,51.21661317,2400,0.0,30.760697869901996,
