date,code,action,price,shares,pnl,fee,reason
2023-11-02,600018,sell,4.71889743,23000,4601.055299110027,108.53464089,
2023-11-02,600276,buy,47.4925626,2300,0.0,109.23289398,
2023-11-02,600036,buy,27.039051,4000,0.0,108.156204,
2023-11-02,600377,buy,9.34020087,11700,0.0,109.28035017900001,
2023-11-02,600085,buy,49.37180974,2200,0.0,108.61798142800002,
2023-11-02,600160,buy,14.5410444,7500,0.0,109.057833,
2023-11-02,600426,buy,29.02660257,3700,0.0,107.39842950900001,
2023-11-16,600026,sell,12.97783684,8500,-669.0535031400068,110.31161314,
2023-11-16,600066,sell,11.24876798,8800,-4191.364654223988,98.98915822400001,
2023-11-16,600196,sell,27.446739,3800,1492.2837918000005,104.2976082,
2023-11-16,600276,sell,46.4019192,2300,-2615.204234159988,106.72441416000001,
2023-11-16,600377,sell,9.06027477,11700,-3381.140584809007,106.005214809,
2023-11-16,600085,sell,47.82443552,2200,-3509.437042144011,105.21375814400001,
2023-11-16,600426,sell,28.61153253,3700,-1641.6218183610035,105.86267036100001,
2023-11-16,600027,buy,4.66283165,22700,0.0,105.846278455,
2023-11-16,600011,buy,7.1675296,14800,0.0,106.07943807999999,
2023-11-16,600406,buy,21.05770078,5000,0.0,105.28850390000001,
2023-11-16,600415,buy,7.72608888,13700,0.0,105.84741765599999,
2023-11-16,600460,buy,25.31899288,4100,0.0,103.80787080799999,
2023-11-16,600025,buy,7.8022683,13600,0.0,106.11084887999999,
2023-11-16,600482,buy,17.40966346,6100,0.0,106.198947106,
2023-11-30,600036,sell,25.37334675,4000,-6764.31038699999,101.493387,
2023-11-30,600027,sell,4.72746496,22700,1359.8626824079838,107.313454592,
2023-11-30,600406,sell,20.86807718,5000,-1052.4583859000122,104.3403859,
2023-11-30,600415,sell,7.6112028,13700,-1678.2127743599995,104.27347836,
2023-11-30,600460,sell,24.12093328,4100,-5010.940186448002,98.895826448,
2023-11-30,600482,sell,17.39003588,6100,-225.80745686801674,106.079218868,
2023-11-30,600150,buy,27.27465448,3800,0.0,103.643687024,
2023-11-30,600104,buy,14.39675712,7200,0.0,103.656651264,
2023-11-30,600018,buy,4.68166747,22200,0.0,103.933017834,
2023-11-30,600276,buy,47.61154188,2100,0.0,99.984237948,
2023-11-30,600188,buy,13.7889678,7500,0.0,103.4172585,
2023-11-30,600489,buy,10.25646486,10100,0.0,103.590295086,
2023-12-14,600161,sell,26.2766748,5200,31277.494379039985,136.63870896,
2023-12-14,600011,sell,7.32785592,14800,2264.377268384007,108.452267616,
2023-12-14,600150,sell,28.21209738,3800,3455.077049956002,107.205970044,
